S,S,S,S,S,S,X,W,X,X,X,X,X,X,X,X,W,X,O,O,O,O,O,O
S,S,S#,S,S,S,S,W,W,H,H,H,H,H,H,W,W,O,O,O,O,O,O,O
S,S,S*,S,S,S,S,W,W,H,H,H#,H,H,H,W,W,O,O,O#,O,O,O,O
SK,S,S,S,S,S,S,W,W,H,H,H,H,H,H,W,W,O,O,O,O*,O,O,O
X,W,W,W,W,W,W^,W,W>,H,H,H*,H,H,H,W,W,O,O,O,O,O,O,O
W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,W,W,O,O,O,O,O,O,OC
X,L,L,L,L,L,W,W,W,H,H,H,H,H,H,W,W,W^,W,W,W,W,W,X
L,L,L#,L,L,L,L,W,W,W,W,W^,W^,W,W,W,W,W,W,W,W,W,W,W
L,L,L*,L,L,L,L,W<,W,X,X,X,X,X,W,W,W,Wv,W,W,W,W,W,X
L,L,L,L,L,L,L,W,W,X,X,X,X,X,W,W,D,D,D,D,D,D,D,D
X,L,L,L,L,L,W,W,W,X,X,X,X,X,W,W,D,D,D,D,D,D,D,D
X,Wv,W,W^,W,W,W,W,W,X,X,X,X,X,W,W,D,D,D#,D,D,D,D,D
R,R,R,R,R,R,W,W,W,X,X,X,X,X,W,W>,D,D,D,D,D*,D,D,D
R,R#,R,R,R,R,W,W,W,X,X,X,X,X,W,W,D,D,D,D,D,D,D,D
R,R,R*,R,R,R,W,W,W,X,X,X,X,X,W,W,D,D,D,D,D,D,D,D
R,R,R,R,R,R,W<,W,W,W,W,W,W,W,W,W,W,W,W,D,D,D,D,D
R,R,R,R,R,R,W,W,W,Wv,W,W,W,W,Wv,W,W,W,W,W,W,W,W,X
X,W,W,W,W,W,W,W,B,B,B,B,B,B,B,B,W,W,Wv,W,W,W,W,W
W,W,W,W,W,W,W,W,B,B,B,B,B,B,B,B,W,K,K,K,K,K,K,X
X,CO,C,C,C,W<,W,W>,B,B,B,B#,B,B,B,B,W<,K,K,K#,K,K,K,K
C,C#,C,C,C,C,W,W,B,B,B,B*,B,B,B,B,W,K,K,K*,K,K,K,K
C,C,C*,C,C,C,W,W,B,B,B,B,B,B,B,B,W,K,K,K,K,K,K,K
C,C,C,C,C,C,W,W,B,B,B,B,B,B,B,B,W,K,K,K,K,K,K,K
C,C,C,C,C,C,X,W,W,W,B,B,B,B,W,W,W,KS,K,K,K,K,K,K
X,X,X,X,X,X,X,X,X,W,X,X,X,X,W,X,X,X,X,X,X,X,X,X
